# Values shown are for the Exit End of each Element:
# Index  name      key                      s       l           b          b1        beta       alpha        beta       alpha
#                                                             max    gradient           a           a           b           b
     92  DU2H      Drift               36.592   0.000         ---         ---  2.4344E+01  1.2112E+00  1.8609E+01 -8.7709E-01
     93  DTHXU     Drift               36.601   0.009         ---         ---  2.4323E+01  1.2103E+00  1.8625E+01 -8.7795E-01
     94  UMAHX14   Wiggler             39.955   3.354  8.2383E-01         ---  1.7271E+01  8.8959E-01  2.5584E+01 -1.1968E+00
     95  DTHXU     Drift               39.964   0.009         ---         ---  1.7255E+01  8.8865E-01  2.5605E+01 -1.1977E+00
     96  DU3H      Drift               40.015   0.051         ---         ---  1.7164E+01  8.8336E-01  2.5727E+01 -1.2025E+00
     97  BLMH14    Instrument          40.015   0.000         ---         ---  1.7164E+01  8.8336E-01  2.5727E+01 -1.2025E+00
     98  DU3H      Drift               40.066   0.051         ---         ---  1.7074E+01  8.7807E-01  2.5850E+01 -1.2074E+00
     99  QHX14     Quadrupole          40.150   0.084         ---  3.5714E+01  1.7063E+01 -7.4173E-01  2.5848E+01  1.2381E+00
    100  DU4H      Drift               40.213   0.063         ---         ---  1.7157E+01 -7.4745E-01  2.5692E+01  1.2320E+00
    101  RFBHX14   Instrument          40.263   0.050         ---         ---  1.7232E+01 -7.5200E-01  2.5569E+01  1.2271E+00
    102  DU5H      Drift               40.340   0.078         ---         ---  1.7349E+01 -7.5906E-01  2.5379E+01  1.2195E+00
    103  PSHXH     Taylor              40.365   0.025         ---         ---  1.7387E+01 -7.6131E-01  2.5319E+01  1.2171E+00
    104  MPHH      Marker              40.365   0.000         ---         ---  1.7387E+01 -7.6131E-01  2.5319E+01  1.2171E+00
    105  PSHXH     Taylor              40.390   0.025         ---         ---  1.7425E+01 -7.6356E-01  2.5259E+01  1.2147E+00
    106  DU6H      Drift               40.474   0.084         ---         ---  1.7554E+01 -7.7123E-01  2.5054E+01  1.2064E+00
    107  VVHXU14   Marker              40.474   0.000         ---         ---  1.7554E+01 -7.7123E-01  2.5054E+01  1.2064E+00
    108  DU7H      Drift               40.563   0.089         ---         ---  1.7692E+01 -7.7931E-01  2.4840E+01  1.1977E+00
    109  DU1H      Drift               40.604   0.041         ---         ---  1.7756E+01 -7.8303E-01  2.4742E+01  1.1937E+00
    110  DU2H      Drift               40.604   0.000         ---         ---  1.7756E+01 -7.8303E-01  2.4742E+01  1.1937E+00
    111  DTHXU     Drift               40.613   0.009         ---         ---  1.7770E+01 -7.8385E-01  2.4721E+01  1.1928E+00
    112  UMAHX15   Wiggler             43.967   3.354  8.2383E-01         ---  2.3968E+01 -1.0617E+00  1.7822E+01  8.6411E-01
    113  DTHXU     Drift               43.976   0.009         ---         ---  2.3988E+01 -1.0625E+00  1.7806E+01  8.6323E-01
    114  DU3H      Drift               44.027   0.051         ---         ---  2.4096E+01 -1.0671E+00  1.7718E+01  8.5823E-01
    115  BLMH15    Instrument          44.027   0.000         ---         ---  2.4096E+01 -1.0671E+00  1.7718E+01  8.5823E-01
    116  DU3H      Drift               44.078   0.051         ---         ---  2.4205E+01 -1.0716E+00  1.7631E+01  8.5323E-01
    117  QHX15     Quadrupole          44.162   0.084         --- -3.5714E+01  2.4193E+01  1.2174E+00  1.7628E+01 -8.1945E-01
    118  DU4H      Drift               44.225   0.063         ---         ---  2.4040E+01  1.2109E+00  1.7732E+01 -8.2543E-01
    119  RFBHX15   Instrument          44.275   0.050         ---         ---  2.3919E+01  1.2058E+00  1.7815E+01 -8.3017E-01
    120  DU5H      Drift               44.353   0.078         ---         ---  2.3732E+01  1.1978E+00  1.7944E+01 -8.3754E-01
    121  PSHXH     Taylor              44.378   0.025         ---         ---  2.3673E+01  1.1953E+00  1.7986E+01 -8.3984E-01
    122  MPHH      Marker              44.378   0.000         ---         ---  2.3673E+01  1.1953E+00  1.7986E+01 -8.3984E-01
    123  PSHXH     Taylor              44.403   0.025         ---         ---  2.3614E+01  1.1927E+00  1.8027E+01 -8.4214E-01
    124  DU6H      Drift               44.487   0.084         ---         ---  2.3413E+01  1.1841E+00  1.8170E+01 -8.5015E-01
    125  VVHXU15   Marker              44.487   0.000         ---         ---  2.3413E+01  1.1841E+00  1.8170E+01 -8.5015E-01
    126  DU7H      Drift               44.576   0.089         ---         ---  2.3203E+01  1.1750E+00  1.8322E+01 -8.5858E-01
    127  DU1H      Drift               44.617   0.041         ---         ---  2.3107E+01  1.1707E+00  1.8393E+01 -8.6247E-01
    128  DU2H      Drift               44.617   0.000         ---         ---  2.3107E+01  1.1707E+00  1.8393E+01 -8.6247E-01
    129  DTHXU     Drift               44.626   0.009         ---         ---  2.3086E+01  1.1698E+00  1.8408E+01 -8.6332E-01
    130  UMAHX16   Wiggler             47.980   3.354  8.2383E-01         ---  1.6324E+01  8.4381E-01  2.5266E+01 -1.1813E+00
    131  DTHXU     Drift               47.989   0.009         ---         ---  1.6309E+01  8.4287E-01  2.5287E+01 -1.1822E+00
    132  DU3H      Drift               48.040   0.051         ---         ---  1.6223E+01  8.3752E-01  2.5408E+01 -1.1870E+00
    133  BLMH16    Instrument          48.040   0.000         ---         ---  1.6223E+01  8.3752E-01  2.5408E+01 -1.1870E+00
    134  DU3H      Drift               48.091   0.051         ---         ---  1.6138E+01  8.3217E-01  2.5530E+01 -1.1918E+00
