description,mad_name,z_start(m),length(in),beamline,shape,round_diameter(in),elliptical_diameter_x(in),elliptical_diameter_y(in)
Flex Coupling,,3308.642,4,LTUH,round,1.370,,
Drift Tube(2 in a row),,3308.744,120,LTUH,round,1.370,,
Four Way Cross Tube,,3311.792,4.92,LTUH,round,1.370,,
Drift Tube,,3311.917,48,LTUH,round,1.370,,
Bellows,,3313.136,5.2,LTUH,round,1.500,,
Single Beam Dump Assy,,3313.268,28.14,LTUH,round,0.501,,
Bellows,,3313.983,6,LTUH,round,1.500,,
Dump Collimator,PCTDKIK1*,3314.135,36.0,LTUH,round,0.870,,
Bellows,,3315.049,6,LTUH,round,1.500,,
Dump Collimator,PCTDKIK2*,3315.201,36.0,LTUH,round,0.870,,
Bellows,,3316.115,6,LTUH,round,1.500,,
Dump Collimator,PCTDKIK3*,3316.267,36.0,LTUH,round,0.870,,
Bellows,,3317.181,6,LTUH,round,1.500,,
Dump Collimator,PCTDKIK4*,3317.333,36.0,LTUH,round,0.870,,
Bellows,,3318.247,6,LTUH,round,1.500,,
Drift Tube,,3318.399,47.33,LTUH,round,1.370,,
5 Way Cross Valve,,3319.601,4.92,LTUH,round,1.370,,
Drift Tube,,3319.726,11.88,LTUH,round,1.370,,
R56 Chicane ASSY,"BCX351*,BCX52*,BCX353*,BCX354*",3320.028,87.54,LTUH,rectangular,,0.553,2.756
Drift Tube,YCQT21*,3322.252,28.0,LTUH,round,1.370,,
Bellows,,3322.963,5.2,LTUH,round,1.500,,
Magnet Chamber,QT21*,3323.095,22.94,LTUH,round,0.745,,
Flex coupling,,3323.678,3.34,LTUH,round,1.370,,
Drift Tube,,3323.763,28.0,LTUH,round,1.370,,
Flex Coupling,,3324.474,3.34,LTUH,round,1.370,,
BPM Vac System,QT22*,3324.569,22.943,LTUH,round,0.781,,
Bellows,,3325.152,5.2,LTUH,round,1.500,,
Drift Tube,,3325.284,9.0,LTUH,round,1.370,,
Reducing Flange,,3325.513,0.78,LTUH,round,1.370,,
Collimator,CXQT22*,3325.533,8.6,LTUH,round,3.834,,
Reducing Flange,,3325.751,0.78,LTUH,round,1.370,,
Drift Tube,,3325.771,8.0,LTUH,round,1.370,,
Bellows,,3325.974,5.2,LTUH,round,1.500,,
Magnet Chamber,QT23*,3326.106,22.94,LTUH,round,0.745,,
Flex Coupling,,3326.689,3.34,LTUH,round,1.370,,
Drift Tube,,3326.774,10.0,LTUH,round,1.370,,
Reducing Flange,,3327.028,0.68,LTUH,round,1.500,,
Magnet Chamber**,BX35*,3327.045,113,LTUH,rectangular,,1.402,0.468
Reducing Flange,,3329.915,0.68,LTUH,round,1.500,,
Flex Coupling,,3329.932,3.34,LTUH,round,1.370,,
Drift Tube,,3330.017,28.0,LTUH,round,1.370,,
Drift Tube(2 in a row),,3330.728,120,LTUH,round,1.370,,
4 Way Cross,,3333.776,4.92,LTUH,round,1.370,,
Bellows,,3333.901,6,LTUH,round,1.500,,
Drift Tube,,3334.053,36.0,LTUH,round,1.370,,
Actuator,,3334.967,2.75,LTUH,round,1.500,,
Flex Coupling,,3335.037,3.34,LTUH,round,1.370,,
Drift Tube,,3335.122,20.0,LTUH,round,1.370,,
Flex Coupling,,3335.630,3.34,LTUH,round,1.370,,
Drift Tube,CQ31*,3335.715,10.0,LTUH,round,1.055,,
Flex Coupling,,3335.969,3.34,LTUH,round,1.370,,
Drift Tube,,3336.054,24.0,LTUH,round,1.370,,
Drift Tube,BTM042*,3336.664,28.0,LTUH,round,1.370,,
Drift Tube(2 in a row),,3337.375,120.0,LTUH,round,1.370,,
4 Way Cross,,3340.423,4.92,LTUH,round,1.370,,
Drift Tube,,3340.548,36.0,LTUH,round,1.370,,
OTR-30,OTR30*,3341.462,17.0,LTUH,round,0.350,,
Drift Tube,,3341.894,28.0,LTUH,round,1.370,,
BPM Drift Tube,"QDL33*,BPMDL3*",3342.605,21.0,LTUH,round,0.874,,
Drift Tube,,3343.137,19.5,LTUH,round,1.370,,
Drift Tube,,3343.632,21.38,LTUH,round,1.370,,
Collimator,CEDL3*,3344.175,8.6,LTUH,round,3.834,,
Drift Tube,,3344.393,21.38,LTUH,round,1.370,,
Tube Clamp,,3344.936,4,LTUH,round,1.370,,
Drift Tube,,3345.038,48,LTUH,round,1.370,,
Drift Tube(2 in a row),,3346.257,120.0,LTUH,round,1.370,,
4 Way Cross,ROUGH OUT*,3349.305,4.92,LTUH,round,1.370,,
Drift Tube,,3349.430,8.0,LTUH,round,1.370,,
Tube Clamp,,3349.633,4,LTUH,round,1.370,,
Drift Tube,QUAD-CQ32*,3349.735,10.0,LTUH,round,1.055,,
Tube Clamp,,3349.989,4,LTUH,round,1.370,,
Drift Tube,,3350.091,37.19,LTUH,round,1.370,,
4 Way Cross,,3351.036,4.92,LTUH,round,1.370,,
Drift Tube(2 in a row),,3351.161,120.0,LTUH,round,1.370,,
4 Way Cross,,3354.209,4.92,LTUH,round,1.370,,
Flex Coupling,,3354.334,4,LTUH,round,1.370,,
Drift Tube,,3354.436,23.0,LTUH,round,1.370,,
Collimator,CYBX36*,3355.020,8.6,LTUH,round,3.834,,
Drift Tube,,3355.238,18.5,LTUH,round,1.370,,
Bellows,,3355.708,5.2,LTUH,round,1.500,,
Reducing Flange,,3355.840,0.68,LTUH,round,1.500,,
Magnet Chamber,BX36*,3355.857,113,LTUH,rectangular,,1.402,0.468
Reducing Flange,,3358.727,0.68,LTUH,round,1.500,,
Drift Tube,,3358.744,6.5,LTUH,round,1.370,,
Flex Coupling,,3358.909,4,LTUH,round,1.370,,
Magnet Chamber,QT31*,3359.011,22.94,LTUH,round,0.745,,
Bellows,,3359.594,6.0,LTUH,round,1.500,,
Magnet System,XCQT32*,3359.746,23.622,LTUH,round,1.430,,
Bellows,,3360.346,5.2,LTUH,round,1.500,,
Quad Magnet BPM Assy,QT32(BPMT32)*,3360.478,22.943,LTUH,round,0.745,,
Bellows,,3361.061,5.2,LTUH,round,1.500,,
Magnet Assy,YCQT32*,3361.193,23.622,LTUH,round,1.430,,
Bellows,,3361.793,6.0,LTUH,round,1.500,,
Magnet Chamber,QT33*,3361.945,22.94,LTUH,round,0.745,,
Bellows,,3362.528,5.2,LTUH,round,1.500,,
Drift Tube,,3362.660,12,LTUH,round,1.370,,
Actuator,,3362.965,2.75,LTUH,round,1.500,,
Flex Coupling,,3363.035,4.00,LTUH,round,1.370,,
R56 Chicane ASSY,"BX361*,BX362*,BX363*,BX364*",3363.137,87.54,LTUH,rectangular,,0.553,2.756
Flex Coupling,,3365.284,4.00,LTUH,round,1.370,,
Drift Tube,BTM42*,3365.386,16.40,LTUH,round,1.370,,
Toroid,IBMCS2*,3365.803,1.80,LTUH,round,0.875,,
Bellows,,3365.849,5.20,LTUH,round,1.500,,
Drift Tubes(3 in a row),BTM05*,3365.981,180.00,LTUH,round,1.370,,
4 Way Cross,40 L/S ION PUMP*,3370.553,4.92,LTUH,round,1.370,,
Bellows,,3370.678,6.00,LTUH,round,1.500,,
Drift Tubes(2 in a row),,3370.830,120.00,LTUH,round,1.370,,
Drift Tube,,3373.878,28.00,LTUH,round,1.370,,
Bellows,,3374.589,5.20,LTUH,round,1.500,,
Reducing Flange,,3374.721,0.56,LTUH,round,1.500,,
Wire Scanner,WSDL4*,3374.735,8.25,LTUH,round,1.870,,
Reducing Flange,,3374.945,0.56,LTUH,round,1.500,,
Bellows,,3374.959,5.20,LTUH,round,1.500,,
Drift Tube,,3375.091,12.00,LTUH,round,1.370,,
5 Way Cross,ROUGHOUT/VAC GAUGES*,3375.396,4.92,LTUH,round,1.370,,
Bellows,,3375.521,10.00,LTUH,round,1.500,,
Vert. Dechirper,DCHIRPV*,3375.775,92.92,LTUH,round,0.984,,
Bellows,,3378.135,10.00,LTUH,round,1.500,,
BPM Drift Tube,QDL34*,3378.389,21.0,LTUH,round,0.874,,
Bellows,,3378.922,10.00,LTUH,round,1.500,,
Horiz. Dechirper,DCHIRPH*,3379.176,92.92,LTUH,round,0.984,,
Bellows,,3381.536,6.00,LTUH,round,1.500,,
Magnet System,XCDL4*,3381.688,23.622,LTUH,round,1.430,,
Drift Tube,YCDL4*,3382.288,45,LTUH,round,1.370,,
Bellows,,3383.431,5.20,LTUH,round,1.500,,
4 Way Cross,40 L/S ION PUMP*,3383.563,4.92,LTUH,round,1.370,,
Bellows,,3383.688,5.20,LTUH,round,1.500,,
Drift Tube,,3383.820,24,LTUH,round,1.370,,
Drift Tubes(3 in a row),,3384.430,180.0,LTUH,round,1.370,,
Drift Tube,BURN THROUGH MONITOR*,3389.002,60.0,LTUH,round,1.370,,
Pneumatic Valve,,3390.528,2.83,LTUH,round,1.570,,
Bellows,,3390.600,6,LTUH,round,1.500,,
Drift tubes(2 in a row),,3390.752,120.0,LTUH,round,1.370,,
Drift Tube,,3393.800,36.0,LTUH,round,1.370,,
Bellows,,3394.714,6,LTUH,round,1.500,,
Magnet Chamber,QT41*,3394.866,22.94,LTUH,round,0.745,,
Flex Coupling,,3395.449,3.34,LTUH,round,1.370,,
Drift Tube,XCQT42*,3395.534,28.00,LTUH,round,1.370,,
Flex Coupling,,3396.245,3.34,LTUH,round,1.370,,
BPM Quad,QT42*,3396.330,22.943,LTUH,round,0.781,,
