# Values shown are for the Exit End of each Element:
# Index  name    key                      s       l         s               L        gradient         voltage            phi0              rf
#                                                                                                                                   frequency
    582  K23_5A2 Lcavity            270.481   0.250 270.48067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    584  K23_5A3 Lcavity            272.942   2.462 272.94237  2.46170000E+00  1.69013655E+07  4.16060913E+07 -9.30555556E-02  2.85600000E+09
    585  K23_5B  Lcavity            275.986   3.044 275.98647  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    586  K23_5C  Lcavity            279.031   3.044 279.03057  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    587  K23_5D  Lcavity            282.075   3.044 282.07467  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    593  K23_6A1 Lcavity            282.571   0.328 282.57067  3.28000000E-01  1.69013655E+07  5.54364787E+06 -9.30555556E-02  2.85600000E+09
    595  K23_6A2 Lcavity            282.821   0.250 282.82067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    597  K23_6A3 Lcavity            285.287   2.466 285.28677  2.46610000E+00  1.69013655E+07  4.16804573E+07 -9.30555556E-02  2.85600000E+09
    598  K23_6B  Lcavity            288.331   3.044 288.33087  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    599  K23_6C  Lcavity            291.375   3.044 291.37497  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    600  K23_6D  Lcavity            294.419   3.044 294.41907  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    606  K23_7A1 Lcavity            294.921   0.334 294.92067  3.33600000E-01  1.69013655E+07  5.63829552E+06 -9.30555556E-02  2.85600000E+09
    608  K23_7A2 Lcavity            295.288   0.367 295.28777  3.67100000E-01  1.69013655E+07  6.20449126E+06 -9.30555556E-02  2.85600000E+09
    610  K23_7A3 Lcavity            297.631   2.343 297.63117  2.34340000E+00  1.69013655E+07  3.96066598E+07 -9.30555556E-02  2.85600000E+09
    611  K23_7B  Lcavity            300.675   3.044 300.67527  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    612  K23_7C  Lcavity            303.719   3.044 303.71937  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    613  K23_7D  Lcavity            306.763   3.044 306.76347  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    619  K23_8A1 Lcavity            307.261   0.329 307.26067  3.29200000E-01  1.69013655E+07  5.56392951E+06 -9.30555556E-02  2.85600000E+09
    621  K23_8A2 Lcavity            307.667   0.406 307.66707  4.06400000E-01  1.69013655E+07  6.86871492E+06 -9.30555556E-02  2.85600000E+09
    623  K23_8A3 Lcavity            309.976   2.308 309.97557  2.30850000E+00  1.69013655E+07  3.90168022E+07 -9.30555556E-02  2.85600000E+09
    624  K23_8B  Lcavity            313.020   3.044 313.01967  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    625  K23_8C  Lcavity            316.064   3.044 316.06377  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    626  K23_8D1 Lcavity            318.451   2.387 318.45067  2.38690000E+00  1.69013655E+07  4.03418692E+07 -9.30555556E-02  2.85600000E+09
    628  K23_8D2 Lcavity            318.701   0.250 318.70067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    630  K23_8D3 Lcavity            319.108   0.407 319.10787  4.07200000E-01  1.69013655E+07  6.88223601E+06 -9.30555556E-02  2.85600000E+09
    639  K24_1A  Lcavity            325.165   3.044 325.16477  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    640  K24_1B  Lcavity            328.209   3.044 328.20887  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    641  K24_1C  Lcavity            331.253   3.044 331.25297  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    642  K24_1D  Lcavity            334.297   3.044 334.29707  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    648  K24_2A1 Lcavity            334.837   0.372 334.83667  3.71600000E-01  1.69013655E+07  6.28054740E+06 -9.30555556E-02  2.85600000E+09
    650  K24_2A2 Lcavity            335.118   0.281 335.11767  2.81000000E-01  1.69013655E+07  4.74928369E+06 -9.30555556E-02  2.85600000E+09
    652  K24_2A3 Lcavity            337.509   2.392 337.50917  2.39150000E+00  1.69013655E+07  4.04196155E+07 -9.30555556E-02  2.85600000E+09
    653  K24_2B  Lcavity            340.553   3.044 340.55327  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    654  K24_2C  Lcavity            343.597   3.044 343.59737  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    655  K24_2D  Lcavity            346.641   3.044 346.64147  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    661  K24_3A1 Lcavity            347.141   0.331 347.14067  3.31200000E-01  1.69013655E+07  5.59773224E+06 -9.30555556E-02  2.85600000E+09
    663  K24_3A2 Lcavity            347.391   0.250 347.39067  2.50000000E-01  1.69013655E+07  4.22534136E+06 -9.30555556E-02  2.85600000E+09
    665  K24_3A3 Lcavity            349.854   2.463 349.85357  2.46290000E+00  1.69013655E+07  4.16263730E+07 -9.30555556E-02  2.85600000E+09
    666  K24_3B  Lcavity            352.898   3.044 352.89767  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    667  K24_3C  Lcavity            355.942   3.044 355.94177  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    668  K24_3D  Lcavity            358.986   3.044 358.98587  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    674  K24_4A1 Lcavity            359.481   0.327 359.48067  3.26800000E-01  1.69013655E+07  5.52336623E+06 -9.30555556E-02  2.85600000E+09
    676  K24_4A2 Lcavity            359.785   0.305 359.78547  3.04800000E-01  1.69013655E+07  5.15153619E+06 -9.30555556E-02  2.85600000E+09
    678  K24_4A3 Lcavity            362.198   2.413 362.19797  2.41250000E+00  1.69013655E+07  4.07745442E+07 -9.30555556E-02  2.85600000E+09
    679  K24_4B  Lcavity            365.242   3.044 365.24207  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    680  K24_4C  Lcavity            368.286   3.044 368.28617  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    681  K24_4D  Lcavity            371.330   3.044 371.33027  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    687  K24_5A1 Lcavity            371.831   0.332 371.83067  3.32400000E-01  1.69013655E+07  5.61801388E+06 -9.30555556E-02  2.85600000E+09
    689  K24_5A2 Lcavity            372.135   0.305 372.13547  3.04800000E-01  1.69013655E+07  5.15153619E+06 -9.30555556E-02  2.85600000E+09
    691  K24_5A3 Lcavity            374.542   2.407 374.54237  2.40690000E+00  1.69013655E+07  4.06798965E+07 -9.30555556E-02  2.85600000E+09
    692  K24_5B  Lcavity            377.586   3.044 377.58647  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    693  K24_5C  Lcavity            380.631   3.044 380.63057  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
    694  K24_5D  Lcavity            383.675   3.044 383.67467  3.04410000E+00  1.69013655E+07  5.14494466E+07 -9.30555556E-02  2.85600000E+09
