Solid Edge,AREA,KeyW,ELEMENT,Eng_Name,L_EFF,APER,ANGLE,K1,K2,TILT,E1,E2,H1,H2,ENERGY,SUML,X Coor,Y Coor,Z Coor,X Angle,Y Angle,Z Angle,RF_Frequency,RF_Amplitude,RF_Phase,RF_Gradient,RF_Power_Fraction,Z_Length,Fringe_Field_Integral,Integrated_Field_BL,Field_B,Integrated_Field_Gradient_GL,Field_Gradient_G,XAL_Scale_Name,XAL_Scale_Value,XAL_Polarity,Magnet_X_Coor,Magnet_Y_Coor,Magnet_Z_Coor,Magnet_X_Angle,Magnet_Y_Angle,Magnet_Z_Angle,Solenoid_Strength_KS,Undulator_Period_Length,Undulator_Strength_K,X_Size,Y_Size,Section,Distance_From_Section_Start,XAL_Keyword,S_Display
,,,,,m,m,deg,1/m^2,1/m^3,deg,deg,deg,1/m,1/m,GeV,m,m,m,m,rad,rad,rad,MHz,MeV,deg,MeV/m,1,m,1,kG-m,T,kG,T/m,,,,m,m,m,rad,rad,rad,1/m,m,1,m,m,,m,,m
4150,UNDS,MARK,SXR43BEG,,,,,,,,,,,,4.0,3.692528461E3,3.682383758E3,1.25,2.066337,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.682383758E3
4152,UNDS,MARK,MBLMS43,,,,,,,,,,,,4.0,3.692628461E3,3.682483757E3,1.25,2.066804,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.682483757E3
4155,UNDS,USEG,UMASXH43,VGHPU39,3.393,,,,,,,,,,4.0,3.694358461E3,3.684213738E3,1.25,2.074881,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.039,5.5,,,,,,3.684213738E3
4156,UNDS,EFC,XCSU43,type-V,0.0,,,,,,,,,,4.0,3.694358461E3,3.684213738E3,1.25,2.074881,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.684213738E3
4157,UNDS,EFC,YCSU43,type-V,0.0,,,,,,,,,,4.0,3.694358461E3,3.684213738E3,1.25,2.074881,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.684213738E3
4161,UNDS,USEG,PSSXH43,PS75,0.0825,,,,,,,,,,4.0,3.696263461E3,3.686118718E3,1.25,2.083774,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.075,4.064631891745,,,,,,3.686118718E3
4162,UNDS,MARK,MPHS43,,,,,,,,,,,,4.0,3.696263461E3,3.686118718E3,1.25,2.083774,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.686118718E3
4166,UNDS,QUAD,QSXH43,0.433Q3.1,0.084,0.011,,-2.676718375,,0.0,,,,,4.0,3.696558461E3,3.686413714E3,1.25,2.085151,0.0,-0.4669E-2,0.0,,,,,,,,,,-29.9999997552,35.714285422857,,,,,,,,,,,,,,,,,,3.686413714E3
4167,UNDS,XCOR,XCSX43,type-U,0.0,,,,,,,,,,4.0,3.696558461E3,3.686413714E3,1.25,2.085151,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.686413714E3
4168,UNDS,MARK,MUQS43,,,,,,,,,,,,4.0,3.696558461E3,3.686413714E3,1.25,2.085151,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.686413714E3
4169,UNDS,YCOR,YCSX43,type-U,0.0,,,,,,,,,,4.0,3.696558461E3,3.686413714E3,1.25,2.085151,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.686413714E3
4172,UNDS,BPM,RFBSX43,CavityX-1,0.05,,,,,,,,,,4.0,3.696688461E3,3.686543713E3,1.25,2.085758,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.686543713E3
4174,UNDS,MARK,SXR43END,,,,,,,,,,,,4.0,3.696928461E3,3.68678371E3,1.25,2.086879,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68678371E3
4175,UNDS,MARK,SXR44BEG,,,,,,,,,,,,4.0,3.696928461E3,3.68678371E3,1.25,2.086879,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68678371E3
4179,UNDS,USEG,UMASXH44,VGHPU39,3.393,,,,,,,,,,4.0,3.698758461E3,3.68861369E3,1.25,2.095422,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.039,5.5,,,,,,3.68861369E3
4180,UNDS,EFC,XCSU44,type-V,0.0,,,,,,,,,,4.0,3.698758461E3,3.68861369E3,1.25,2.095422,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68861369E3
4181,UNDS,EFC,YCSU44,type-V,0.0,,,,,,,,,,4.0,3.698758461E3,3.68861369E3,1.25,2.095422,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.68861369E3
4185,UNDS,USEG,PSSXH44,PS75,0.0825,,,,,,,,,,4.0,3.700663461E3,3.69051867E3,1.25,2.104315,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.075,4.064631891745,,,,,,3.69051867E3
4186,UNDS,MARK,MPHS44,,,,,,,,,,,,4.0,3.700663461E3,3.69051867E3,1.25,2.104315,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69051867E3
4189,UNDS,MARK,VVSXU44,,,,,,,,,,,,4.0,3.700833086E3,3.690688293E3,1.25,2.105107,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.690688293E3
4191,UNDS,QUAD,QSXH44,0.433Q3.1,0.084,0.011,,2.676718375,,0.0,,,,,4.0,3.700958461E3,3.690813666E3,1.25,2.105693,0.0,-0.4669E-2,0.0,,,,,,,,,,29.9999997552,-35.714285422857,,,,,,,,,,,,,,,,,,3.690813666E3
4192,UNDS,XCOR,XCSX44,type-U,0.0,,,,,,,,,,4.0,3.700958461E3,3.690813666E3,1.25,2.105693,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.690813666E3
4193,UNDS,MARK,MUQS44,,,,,,,,,,,,4.0,3.700958461E3,3.690813666E3,1.25,2.105693,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.690813666E3
4194,UNDS,YCOR,YCSX44,type-U,0.0,,,,,,,,,,4.0,3.700958461E3,3.690813666E3,1.25,2.105693,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.690813666E3
4197,UNDS,BPM,RFBSX44,CavityX-1,0.05,,,,,,,,,,4.0,3.701088461E3,3.690943665E3,1.25,2.1063,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.690943665E3
4199,UNDS,MARK,SXR44END,,,,,,,,,,,,4.0,3.701328461E3,3.691183662E3,1.25,2.10742,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.691183662E3
4200,UNDS,MARK,SXR45BEG,,,,,,,,,,,,4.0,3.701328461E3,3.691183662E3,1.25,2.10742,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.691183662E3
4202,UNDS,MARK,MBLMS45,,,,,,,,,,,,4.0,3.701428461E3,3.691283661E3,1.25,2.107887,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.691283661E3
4205,UNDS,USEG,UMASXH45,VGHPU39,3.393,,,,,,,,,,4.0,3.703158461E3,3.693013642E3,1.25,2.115963,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.039,5.5,,,,,,3.693013642E3
4206,UNDS,EFC,XCSU45,type-V,0.0,,,,,,,,,,4.0,3.703158461E3,3.693013642E3,1.25,2.115963,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.693013642E3
4207,UNDS,EFC,YCSU45,type-V,0.0,,,,,,,,,,4.0,3.703158461E3,3.693013642E3,1.25,2.115963,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.693013642E3
4211,UNDS,USEG,PSSXH45,PS75,0.0825,,,,,,,,,,4.0,3.705063461E3,3.694918622E3,1.25,2.124857,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.075,4.064631891745,,,,,,3.694918622E3
4212,UNDS,MARK,MPHS45,,,,,,,,,,,,4.0,3.705063461E3,3.694918622E3,1.25,2.124857,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.694918622E3
4216,UNDS,QUAD,QSXH45,0.433Q3.1,0.084,0.011,,-2.676718375,,0.0,,,,,4.0,3.705358461E3,3.695213618E3,1.25,2.126234,0.0,-0.4669E-2,0.0,,,,,,,,,,-29.9999997552,35.714285422857,,,,,,,,,,,,,,,,,,3.695213618E3
4217,UNDS,XCOR,XCSX45,type-U,0.0,,,,,,,,,,4.0,3.705358461E3,3.695213618E3,1.25,2.126234,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.695213618E3
4218,UNDS,MARK,MUQS45,,,,,,,,,,,,4.0,3.705358461E3,3.695213618E3,1.25,2.126234,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.695213618E3
4219,UNDS,YCOR,YCSX45,type-U,0.0,,,,,,,,,,4.0,3.705358461E3,3.695213618E3,1.25,2.126234,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.695213618E3
4222,UNDS,BPM,RFBSX45,CavityX-1,0.05,,,,,,,,,,4.0,3.705488461E3,3.695343617E3,1.25,2.126841,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.695343617E3
4224,UNDS,MARK,SXR45END,,,,,,,,,,,,4.0,3.705728461E3,3.695583614E3,1.25,2.127961,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.695583614E3
4225,UNDS,MARK,SXR46BEG,,,,,,,,,,,,4.0,3.705728461E3,3.695583614E3,1.25,2.127961,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.695583614E3
4229,UNDS,USEG,UMASXH46,VGHPU39,3.393,,,,,,,,,,4.0,3.707558461E3,3.697413594E3,1.25,2.136505,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.039,5.5,,,,,,3.697413594E3
4230,UNDS,EFC,XCSU46,type-V,0.0,,,,,,,,,,4.0,3.707558461E3,3.697413594E3,1.25,2.136505,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.697413594E3
4231,UNDS,EFC,YCSU46,type-V,0.0,,,,,,,,,,4.0,3.707558461E3,3.697413594E3,1.25,2.136505,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.697413594E3
4235,UNDS,USEG,PSSXH46,PS75,0.0825,,,,,,,,,,4.0,3.709463461E3,3.699318574E3,1.25,2.145398,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.075,4.064631891745,,,,,,3.699318574E3
4236,UNDS,MARK,MPHS46,,,,,,,,,,,,4.0,3.709463461E3,3.699318574E3,1.25,2.145398,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.699318574E3
4240,UNDS,QUAD,QSXH46,0.433Q3.1,0.084,0.011,,2.676718375,,0.0,,,,,4.0,3.709758461E3,3.69961357E3,1.25,2.146775,0.0,-0.4669E-2,0.0,,,,,,,,,,29.9999997552,-35.714285422857,,,,,,,,,,,,,,,,,,3.69961357E3
4241,UNDS,XCOR,XCSX46,type-U,0.0,,,,,,,,,,4.0,3.709758461E3,3.69961357E3,1.25,2.146775,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69961357E3
4242,UNDS,MARK,MUQS46,,,,,,,,,,,,4.0,3.709758461E3,3.69961357E3,1.25,2.146775,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69961357E3
4243,UNDS,YCOR,YCSX46,type-U,0.0,,,,,,,,,,4.0,3.709758461E3,3.69961357E3,1.25,2.146775,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.69961357E3
4246,UNDS,BPM,RFBSX46,CavityX-1,0.05,,,,,,,,,,4.0,3.709888461E3,3.699743569E3,1.25,2.147382,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.699743569E3
4248,UNDS,MARK,SXR46END,,,,,,,,,,,,4.0,3.710128461E3,3.699983566E3,1.25,2.148503,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.699983566E3
4249,UNDS,MARK,SXR47BEG,,,,,,,,,,,,4.0,3.710128461E3,3.699983566E3,1.25,2.148503,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.699983566E3
4251,UNDS,MARK,MBLMS47,,,,,,,,,,,,4.0,3.710228461E3,3.700083565E3,1.25,2.14897,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.700083565E3
4254,UNDS,USEG,UMASXH47,VGHPU39,3.393,,,,,,,,,,4.0,3.711958461E3,3.701813547E3,1.25,2.157046,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,0.039,5.5,,,,,,3.701813547E3
4255,UNDS,EFC,XCSU47,type-V,0.0,,,,,,,,,,4.0,3.711958461E3,3.701813547E3,1.25,2.157046,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701813547E3
4256,UNDS,EFC,YCSU47,type-V,0.0,,,,,,,,,,4.0,3.711958461E3,3.701813547E3,1.25,2.157046,0.0,-0.4669E-2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.701813547E3
